party,state,votes,constituency,candidate
Republican Party of India (A),Assam,1210,Dudhnai,RAJESWAR RABHA
Independent,Assam,1054,Dudhnai,REXSTAR B. SANGMA
Independent,Assam,850,Dudhnai,STINDRO MARAK
None of the Above,Assam,1142,Dudhnai,None of the Above
Indian National Congress,Assam,61007,Goalpara West,ABDUR RASHID MANDAL
All India United Democratic Front,Assam,36668,Goalpara West,SHEIKH SHAH ALAM
Bharatiya Janata Party,Assam,32432,Goalpara West,JABEEN BARBHUIYAN
Asom Gana Parishad,Assam,1154,Goalpara West,ANOWAR HUSSAIN
SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Assam,1016,Goalpara West,MOHIBUL ISLAM
All India Trinamool Congress,Assam,582,Goalpara West,ZESMINA KHATUN
Independent,Assam,523,Goalpara West,MIZANUR RAHMAN
Republican Party of India (A),Assam,489,Goalpara West,KHANINDRA CHANDRA NATH
Independent,Assam,480,Goalpara West,BABLI GOSWAMI CHAKRABORTY
Jai Maha Bharath Party,Assam,457,Goalpara West,ALI AKBAR
Independent,Assam,289,Goalpara West,JALI BEGUM
National People's Party,Assam,269,Goalpara West,JOYNAL ABEDIN
New All India Congress Party,Assam,252,Goalpara West,GIAS UDDIN AHMED
None of the Above,Assam,646,Goalpara West,None of the Above
Indian National Congress,Assam,57374,Goalpara East,ABUL KALAM RASHEED ALAM
Bharatiya Janata Party,Assam,54793,Goalpara East,GAURANGA PRASAD DAS
All India United Democratic Front,Assam,27778,Goalpara East,SHADEED MAZUMDER
All India United Democratic Front,Assam,56003,Jaleswar,SAHAB UDDIN AHMED
Independent,Assam,49341,Jaleswar,AFTAB UDDIN MOLLAH
Bharatiya Janata Party,Assam,11535,Jaleswar,ABDUR RAHIM ZIBRAN
Indian National Congress,Assam,6567,Jaleswar,ABUL FAZAL NASIR UDDIN MOLLAH
Bhartiya Rashtrawadi Party,Assam,1433,Jaleswar,ABDUL WAHAB SHEIKH
Independent,Assam,1355,Jaleswar,KHAIRUL ISLAM MONDAL
Independent,Assam,12138,Goalpara East,ABUL KALAM HUSSAIN
All India Trinamool Congress,Assam,7172,Goalpara East,ELBARTH MARAK
National People's Party,Assam,6710,Goalpara East,PUNAM CHAND SHARMA (LILU)
