status,votes,candidate,state,party,constituency
Result Declared  ,1140,PRASUN RAJKONWAR,Assam,Independent,Mahmara
Result Declared  ,872,SUNIT KUMAR MAHANTA,Assam,Jan Congress Party,Mahmara
Result Declared  ,812,RAJEN GOGOI,Assam,Nationalist Congress Party,Mahmara
Result Declared  ,744,KALI BORUAH,Assam,Liberal Democratic Party,Mahmara
Result Declared  ,731,DIBYA BURAGOHAIN GOGOI,Assam,Independent,Mahmara
Result Declared  ,448,NITYANANDA GOGOI,Assam,Revolutionary Communist Party of India  (Rasik Bhatt),Mahmara
Result Declared  ,251,GIRISH PHUKON,Assam,Rashtriya Jankranti Party,Mahmara
Result Declared  ,1795,None of the Above,Assam,None of the Above,Mahmara
Result Declared  ,73327,TOPON KUMAR GOGOI,Assam,Bharatiya Janata Party,Sonari
Result Declared  ,49210,SARAT BARKATAKY,Assam,Indian National Congress,Sonari
Result Declared  ,1579,RATAN HEMROM,Assam,Independent,Sonari
Result Declared  ,1330,ANUP BHOWMIK,Assam,Janata Dal  (United),Sonari
Result Declared  ,1254,BISHNU KOYA,Assam,Bharat Vikas Morcha,Sonari
Result Declared  ,770,RAYMOND KUJUR,Assam,Jan Congress Party,Sonari
Result Declared  ,732,MONIL BOKALIAL,Assam,Liberal Democratic Party,Sonari
Result Declared  ,3144,None of the Above,Assam,None of the Above,Sonari
Result Declared  ,48584,PRANAB KUMAR GOGOI,Assam,Indian National Congress,Sibsagar
Result Declared  ,48042,SURABHI RAJKONWAR,Assam,Bharatiya Janata Party,Sibsagar
Result Declared  ,10188,ASHINI KUMAR CHETIA,Assam,Independent,Sibsagar
Result Declared  ,2174,JITEN BORPATRA GOHAIN,Assam,Communist Party of India,Sibsagar
Result Declared  ,1506,JAYANTA RAJKONWAR,Assam,Independent,Sibsagar
Result Declared  ,722,ANWAR HUSSAIN,Assam,Independent,Sibsagar
Result Declared  ,663,DILSHAD HUSSAIN AHMED,Assam,All India United Democratic Front,Sibsagar
Result Declared  ,559,DR. GUNIN BASUMATARI,Assam,Liberal Democratic Party,Sibsagar
Result Declared  ,893,None of the Above,Assam,None of the Above,Sibsagar
Result Declared  ,41560,KUSHAL DOWARI,Assam,Bharatiya Janata Party,Thowra
Result Declared  ,40334,SUSHANTA BORGOHAIN,Assam,Indian National Congress,Thowra
Result Declared  ,2066,KUSHAL BORGOHAIN,Assam,Communist Party of India,Thowra
Result Declared  ,1876,None of the Above,Assam,None of the Above,Thowra
Result Declared  ,81556,NABA KUMAR DOLEY,Assam,Bharatiya Janata Party,Dhakuakhana
Result Declared  ,57014,BHARAT CHANDRA NARAH,Assam,Indian National Congress,Dhakuakhana
Result Declared  ,2270,LAKHI NATH SONOWAL,Assam,Communist Party of India  (Marxist),Dhakuakhana
Result Declared  ,2032,DILIP KUMAR CHOWDHURY,Assam,Independent,Dhakuakhana
Result Declared  ,1855,BHUMI RANJAN DOLEY,Assam,Independent,Dhakuakhana
Result Declared  ,812,DR RAJENDRA NATH PEGU,Assam,Liberal Democratic Party,Dhakuakhana
Result Declared  ,422,JUTIKA DOLEY,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Dhakuakhana
Result Declared  ,1111,None of the Above,Assam,None of the Above,Dhakuakhana
Result Declared  ,88441,BHUBON PEGU,Assam,Independent,Jonai
Result Declared  ,39148,ASWINI PAIT,Assam,Bharatiya Janata Party,Jonai
Result Declared  ,33265,SATHO BASUMATARY,Assam,Independent,Jonai
Result Declared  ,30890,SUSHIL PEGU,Assam,Indian National Congress,Jonai
Result Declared  ,5625,LENINDRA KUMAR DOLEY,Assam,Independent,Jonai
Result Declared  ,2290,HITESH DEORI,Assam,Independent,Jonai
Result Declared  ,2120,BHUPEN NARAH,Assam,Independent,Jonai
Result Declared  ,1519,JANKI KUMAR PEGU,Assam,Independent,Jonai
Result Declared  ,1068,NAREN SONOWAL,Assam,Independent,Jonai
Result Declared  ,1850,None of the Above,Assam,None of the Above,Jonai
Result Declared  ,45917,UTPAL DUTTA,Assam,Asom Gana Parishad,Lakhimpur
Result Declared  ,41762,JOY PRAKASH DAS,Assam,Indian National Congress,Lakhimpur
Result Declared  ,23493,GHANA BURAGOHAIN,Assam,Independent,Lakhimpur
Result Declared  ,11272,MAHIM HAZARIKA,Assam,Independent,Lakhimpur
Result Declared  ,4750,UDAY SHANKAR HAZARIKA,Assam,Independent,Lakhimpur
Result Declared  ,1313,DIPAK CHETIA,Assam,All India United Democratic Front,Lakhimpur
Result Declared  ,1313,ARUP KALITA,Assam,Communist Party of India,Lakhimpur
Result Declared  ,1092,MINAKHI GOHAIN BARUAH,Assam,Independent,Lakhimpur
Result Declared  ,861,HIRA GOGOI,Assam,Independent,Lakhimpur
Result Declared  ,730,FAZLUR RAHMAN,Assam,Independent,Lakhimpur
Result Declared  ,662,DILIP DUTTA,Assam,Independent,Lakhimpur
Result Declared  ,640,NANDA KISHORE MAHESWARI,Assam,Independent,Lakhimpur
Result Declared  ,481,MAHIM KONWAR,Assam,Independent,Lakhimpur
Result Declared  ,344,BIRINCHI PEGU,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Lakhimpur
Result Declared  ,888,None of the Above,Assam,None of the Above,Lakhimpur
Result Declared  ,69592,PRADAN BARUAH,Assam,Bharatiya Janata Party,Dhemaji
Result Declared  ,50471,SUMITRA DOLEY PATIR,Assam,Indian National Congress,Dhemaji
Result Declared  ,21874,PARAMANANDA CHAYENGIA,Assam,Independent,Dhemaji
Result Declared  ,16548,SAILEN SONOWAL,Assam,Independent,Dhemaji
Result Declared  ,3830,GANDHESWAR BORAH,Assam,Communist Party of India  (Marxist),Dhemaji
Result Declared  ,2456,KIRANBAN DEORI,Assam,Liberal Democratic Party,Dhemaji
Result Declared  ,2173,RAJKUMAR DOLEY,Assam,Independent,Dhemaji
Result Declared  ,1275,DURGESWAR PATIR,Assam,Lok Jan Shakti Party,Dhemaji
Result Declared  ,524,HEM KANTA MIRI,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Dhemaji
Result Declared  ,1417,None of the Above,Assam,None of the Above,Dhemaji
Result Declared  ,54571,CHAKRADHAR GOGOI,Assam,Bharatiya Janata Party,Moran
Result Declared  ,38340,PABAN SINGH GHATOWAR,Assam,Indian National Congress,Moran
Result Declared  ,2322,ASHOK KUMAR URANG,Assam,Independent,Moran
Result Declared  ,1650,HIRANYA BORUAH,Assam,Communist Party of India,Moran
Result Declared  ,1464,SUNIL RAJKONWAR,Assam,Independent,Moran
Result Declared  ,791,RUBUL BURAGOHAIN,Assam,Independent,Moran
Result Declared  ,1673,None of the Above,Assam,None of the Above,Moran
Result Declared  ,58450,TERASH GOWALLA,Assam,Bharatiya Janata Party,Duliajan
Result Declared  ,41364,DHRUBA JYOTI GOGOI,Assam,Indian National Congress,Duliajan
Result Declared  ,4376,AMIYA GOGOI,Assam,Independent,Duliajan
Result Declared  ,1816,RAMESH CHANDRA PHUKAN,Assam,Independent,Duliajan
Result Declared  ,1144,HIRANYA SONOWAL (RAJU),Assam,Independent,Duliajan
Result Declared  ,1037,ANJALI SENAPATI,Assam,Jan Congress Party,Duliajan
Result Declared  ,825,JATIN KONWAR,Assam,Independent,Duliajan
Result Declared  ,710,SUNIL TANTI,Assam,Communist Party of India  (Marxist-Leninist)  (Liberation),Duliajan
Result Declared  ,651,PROBIN KUMAR HAZARIKA,Assam,Independent,Duliajan
Result Declared  ,637,ISAK KARKARIA,Assam,Independent,Duliajan
Result Declared  ,542,JHUMA DEB NATH,Assam,Shivsena,Duliajan
Result Declared  ,2761,None of the Above,Assam,None of the Above,Duliajan
Result Declared  ,57072,BIMAL BORAH,Assam,Bharatiya Janata Party,Tingkhong
Result Declared  ,38734,ATUWA MUNDA,Assam,Indian National Congress,Tingkhong
Result Declared  ,2935,ANUP PHUKON,Assam,Independent,Tingkhong
Result Declared  ,1299,MIRA TANTI,Assam,Communist Party of India  (Marxist-Leninist)  (Liberation),Tingkhong
Result Declared  ,1235,DILIP BHARALI,Assam,Independent,Tingkhong
Result Declared  ,1150,ELIASH SICHAN,Assam,Jharkhand Disom Party,Tingkhong
Result Declared  ,2075,None of the Above,Assam,None of the Above,Tingkhong
Result Declared  ,59013,RITUPARNA BARUAH,Assam,Bharatiya Janata Party,Lahowal
Result Declared  ,39414,PRITHIBI MAJHI,Assam,Indian National Congress,Lahowal
Result Declared  ,3022,RAJESH RAJPUT,Assam,Communist Party of India,Lahowal
Result Declared  ,1753,RANJIT KONWAR,Assam,Independent,Lahowal
Result Declared  ,1568,SOMBHULAL SABOR,Assam,Independent,Lahowal
Result Declared  ,911,PRIYA NATH GOGOI,Assam,Independent,Lahowal
Result Declared  ,857,BOGA KUMAR NAG,Assam,Jan Congress Party,Lahowal
Result Declared  ,3039,None of the Above,Assam,None of the Above,Lahowal
Result Declared  ,70937,SANJOY KISHAN,Assam,Bharatiya Janata Party,Tinsukia
Result Declared  ,35868,RAJENDRA PRASAD SINGH,Assam,Indian National Congress,Tinsukia
Result Declared  ,4056,LAKHYAJYOTI BORUAH,Assam,Independent,Tinsukia
Result Declared  ,1020,CINTU BARUAH,Assam,Nationalist Congress Party,Tinsukia
Result Declared  ,773,ANANTA JYOTI BHATTACHARJEE,Assam,Jan Congress Party,Tinsukia
Result Declared  ,667,RAM DARSHAN SINGH,Assam,Independent,Tinsukia
Result Declared  ,536,RAM NARAYAN SINGH,Assam,Shivsena,Tinsukia
Result Declared  ,1986,None of the Above,Assam,None of the Above,Tinsukia
Result Declared  ,56003,MAMUN IMDADUL HAQUE CHAWDHURY,Assam,All India United Democratic Front,Naoboicha
Result Declared  ,54770,RAO GAJENDRA SINGH,Assam,Bharatiya Janata Party,Naoboicha
Result Declared  ,33862,SANJAY RAJ SUBBA,Assam,Indian National Congress,Naoboicha
Result Declared  ,8070,JAYANTA KHAUND,Assam,Asom Gana Parishad,Naoboicha
Result Declared  ,2787,SIMANTA BORUAH,Assam,Independent,Naoboicha
Result Declared  ,2481,PAWAN MAJHI SAUTAL,Assam,Independent,Naoboicha
Result Declared  ,827,SAHEBA AHMED,Assam,Independent,Naoboicha
Result Declared  ,737,ANUPAM CHUTIA,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Naoboicha
Result Declared  ,640,DR. DEBABRAT GOGOI,Assam,Independent,Naoboicha
Result Declared  ,512,SOFIQUL ISLAM,Assam,Independent,Naoboicha
Result Declared  ,371,DILWAR HUSSAIN,Assam,Independent,Naoboicha
Result Declared  ,1176,None of the Above,Assam,None of the Above,Naoboicha
Result Declared  ,49167,SUREN PHUKAN,Assam,Bharatiya Janata Party,Digboi
Result Declared  ,34874,GAUTAM DHANOWAR,Assam,Indian National Congress,Digboi
Result Declared  ,4841,PRANAB CHETIA,Assam,Independent,Digboi
Result Declared  ,1166,IMRAN SIDDIQUE,Assam,Independent,Digboi
Result Declared  ,977,BISWANATH SARMA BORDOLOI,Assam,Independent,Digboi
Result Declared  ,923,NOGEN DHEKIAL PHUKAN,Assam,Nationalist Congress Party,Digboi
Result Declared  ,743,BHABAKANTA CHUTIA,Assam,Independent,Digboi
Result Declared  ,588,CHANDAN BAGH,Assam,Independent,Digboi
Result Declared  ,2246,None of the Above,Assam,None of the Above,Digboi
Result Declared  ,46051,NAREN SONOWAL (BOTALI),Assam,Asom Gana Parishad,Naharkatia
Result Declared  ,42520,PRANATEE PHUKAN,Assam,Indian National Congress,Naharkatia
Result Declared  ,4026,SURESH CH. DEKA,Assam,Communist Party of India  (Marxist),Naharkatia
Result Declared  ,2708,MOHAN NAG,Assam,Independent,Naharkatia
Result Declared  ,783,MAHENDRA DHADUMIYA,Assam,Independent,Naharkatia
Result Declared  ,697,SADANANDA DAS,Assam,Jan Congress Party,Naharkatia
Result Declared  ,1719,None of the Above,Assam,None of the Above,Naharkatia
Result Declared  ,69351,BINOD HAZARIKA,Assam,Bharatiya Janata Party,Chabua 
Result Declared  ,38597,RAJU SAHU,Assam,Indian National Congress,Chabua 
Result Declared  ,2516,DEBNATH MAJHI,Assam,Communist Party of India  (Marxist-Leninist)  (Liberation),Chabua 
Result Declared  ,1315,RABIN CHANDRA KACHARI,Assam,Independent,Chabua 
Result Declared  ,1252,UTPAL KAKOTI,Assam,Independent,Chabua 
Result Declared  ,3012,None of the Above,Assam,None of the Above,Chabua 
Result Declared  ,63985,PRASANTA PHUKAN,Assam,Bharatiya Janata Party,Dibrugarh
Result Declared  ,36611,CHANDRA KANTA BARUA,Assam,Indian National Congress,Dibrugarh
Result Declared  ,1086,DIGANTA PHUKAN,Assam,Communist Party of India,Dibrugarh
Result Declared  ,748,BIPUL CHANDRA DAS,Assam,Independent,Dibrugarh
Result Declared  ,503,AVINASH SINGH,Assam,Independent,Dibrugarh
Result Declared  ,501,JUGEN KACHARI,Assam,Independent,Dibrugarh
Result Declared  ,311,PADMESWAR PHUKAN,Assam,Independent,Dibrugarh
Result Declared  ,1116,None of the Above,Assam,None of the Above,Dibrugarh
Result Declared  ,76365,BHASKAR SHARMA,Assam,Bharatiya Janata Party,Margherita
Result Declared  ,53621,PRADYUT BORDOLOI,Assam,Indian National Congress,Margherita
Result Declared  ,1332,NIDAN PURTY,Assam,Independent,Margherita
Result Declared  ,1306,BISHWANATH SINGHA,Assam,Independent,Margherita
Result Declared  ,1289,UMESH BORA,Assam,Independent,Margherita
Result Declared  ,690,PURNA CHETRI,Assam,Independent,Margherita
Result Declared  ,2137,None of the Above,Assam,None of the Above,Margherita
Result Declared  ,38845,BOLIN CHETIA,Assam,Bharatiya Janata Party,Sadiya
Result Declared  ,32279,BIRINCHI NEOG,Assam,Indian National Congress,Sadiya
Result Declared  ,22005,LAKHIN CHANDRA CHETIA,Assam,Independent,Sadiya
Result Declared  ,12481,DINDAYAL VERMA,Assam,Independent,Sadiya
Result Declared  ,5047,TIKENDRA THAPA,Assam,Independent,Sadiya
Result Declared  ,2310,DRONA CHARINGIA PHUKAN,Assam,Communist Party of India  (Marxist),Sadiya
Result Declared  ,1430,BISWANATH BARUAH,Assam,Independent,Sadiya
Result Declared  ,1264,SHRIKUMAR DOHUTIA,Assam,Independent,Sadiya
Result Declared  ,846,ANUP PRATIM BORBARUAH,Assam,Nationalist Congress Party,Sadiya
Result Declared  ,783,BULBUL GOWALA,Assam,Independent,Sadiya
Result Declared  ,758,RAMEN BORGOHAIN,Assam,Independent,Sadiya
Result Declared  ,756,LALIT DEORI,Assam,Independent,Sadiya
Result Declared  ,2044,None of the Above,Assam,None of the Above,Sadiya
Result Declared  ,46938,DURGA BHUMIJ,Assam,Indian National Congress,Doom Dooma
Result Declared  ,46156,DILIP MORAN,Assam,Bharatiya Janata Party,Doom Dooma
Result Declared  ,1481,HRISHIKESH BARUAH,Assam,Independent,Doom Dooma
Result Declared  ,1443,MONOJ KUMAR SAWASHI,Assam,Jan Congress Party,Doom Dooma
Result Declared  ,1441,RAJESH KARMAKAR,Assam,Independent,Doom Dooma
Result Declared  ,846,SARFARAZ ALAM,Assam,Independent,Doom Dooma
Result Declared  ,642,ISAB HUSSAIN,Assam,Independent,Doom Dooma
Result Declared  ,571,RANJIT SINGH GORH,Assam,Independent,Doom Dooma
Result Declared  ,557,BHABA KANTA CHUTIA,Assam,Independent,Doom Dooma
Result Declared  ,3317,None of the Above,Assam,None of the Above,Doom Dooma
