status,votes,candidate,state,party,constituency
Result Declared  ,242,BILAL UDDIN,Assam,Independent,Karimganj South
Result Declared  ,212,TAJ MD KAMAL UDDIN KHAN,Assam,Independent,Karimganj South
Result Declared  ,52037,BIR BHADRA HAGJER,Assam,Bharatiya Janata Party,Haflong 
Result Declared  ,43731,NIRMAL LANGTHASA,Assam,Indian National Congress,Haflong 
Result Declared  ,2893,MAYASING DAULAGUPU,Assam,Independent,Haflong 
Result Declared  ,2723,NEIKHOL HAOLAI CHANGSAN,Assam,All India United Democratic Front,Haflong 
Result Declared  ,199,JAMAL AHMED,Assam,Independent,Karimganj South
Result Declared  ,159,ABDUL HAMID,Assam,Independent,Karimganj South
Result Declared  ,157,AHMED ALI,Assam,Independent,Karimganj South
Result Declared  ,150,ABU BARKAT NIZAM UDDIN AHMED,Assam,Independent,Karimganj South
Result Declared  ,122,MUKTAR HUSSAIN,Assam,Independent,Karimganj South
Result Declared  ,1111,None of the Above,Assam,None of the Above,Haflong 
Result Declared  ,106,SAD UDDIN,Assam,Independent,Karimganj South
Result Declared  ,105,SAHAJAN AHMED,Assam,Independent,Karimganj South
Result Declared  ,98,QUAMRUL ISLAM,Assam,Independent,Karimganj South
Result Declared  ,97,SARIF UDDIN,Assam,Independent,Karimganj South
Result Declared  ,95,FAIZUL HAQUE,Assam,Independent,Karimganj South
Result Declared  ,54204,MIHIR KANTI SHOME,Assam,Bharatiya Janata Party,Udharbond
Result Declared  ,45598,AJIT SINGH,Assam,Indian National Congress,Udharbond
Result Declared  ,90,KABIR UDDIN,Assam,Independent,Karimganj South
Result Declared  ,80,SALIM UDDIN,Assam,Independent,Karimganj South
Result Declared  ,56,SABIR AHMED,Assam,Independent,Karimganj South
Result Declared  ,43,RAJIB DAS,Assam,Independent,Karimganj South
Result Declared  ,173,None of the Above,Assam,None of the Above,Karimganj South
Result Declared  ,8715,LIAKAT ALI LASKAR,Assam,All India United Democratic Front,Udharbond
Result Declared  ,882,SADIK HUSSAIN BARLASKAR,Assam,Independent,Udharbond
Result Declared  ,542,APARNA TEWARI,Assam,Samajwadi Party,Udharbond
Result Declared  ,474,MOINUL HOQUE LASKAR,Assam,Independent,Udharbond
Result Declared  ,1745,None of the Above,Assam,None of the Above,Udharbond
Result Declared  ,40170,NUMAL MOMIN,Assam,Bharatiya Janata Party,Bokajan
Result Declared  ,35426,KLENGDOON ENGTI,Assam,Indian National Congress,Bokajan
Result Declared  ,25388,JAGAT SING ENGTI,Assam,Independent,Bokajan
Result Declared  ,1628,DANIEL MOMIN,Assam,National People's Party,Bokajan
Result Declared  ,1441,SANJAY KEMPRAI,Assam,Independent,Bokajan
Result Declared  ,959,BIKHA TOKBI,Assam,Jan Congress Party,Bokajan
Result Declared  ,2144,None of the Above,Assam,None of the Above,Bokajan
Result Declared  ,62596,DR.MANSING RONGPI,Assam,Indian National Congress,Baithalangso
Result Declared  ,53077,ARUN TERANG,Assam,Bharatiya Janata Party,Baithalangso
Result Declared  ,25171,HOLIRAM TERANG,Assam,Independent,Baithalangso
Result Declared  ,2285,DHONSING HANSE,Assam,Jan Congress Party,Baithalangso
Result Declared  ,2981,None of the Above,Assam,None of the Above,Baithalangso
Result Declared  ,43378,JOY RAM ENGLENG,Assam,Bharatiya Janata Party,Howraghat
Result Declared  ,36987,KHORSING ENGTI,Assam,Indian National Congress,Howraghat
Result Declared  ,15899,CHOMANG KRO,Assam,Independent,Howraghat
Result Declared  ,1906,None of the Above,Assam,None of the Above,Howraghat
Result Declared  ,94787,SRI DILIP KUMAR PAUL,Assam,Bharatiya Janata Party,Silchar
Result Declared  ,54867,BITHIKA DEV,Assam,Indian National Congress,Silchar
Result Declared  ,1961,SUPRIYA BHATTACHARJEE,Assam,Communist Party of India  (Marxist),Silchar
Result Declared  ,657,SHUVADIP DATTA,Assam,Independent,Silchar
Result Declared  ,526,RITA MAZUMDER,Assam,Independent,Silchar
Result Declared  ,512,IMDAD HUSSAIN LASKAR,Assam,Independent,Silchar
Result Declared  ,332,SAHIN AHMED CHOUDHURY,Assam,Samajwadi Party,Silchar
Result Declared  ,324,PRADIP KUMAR DEB,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Silchar
Result Declared  ,318,BIJU CHANDA,Assam,Independent,Silchar
Result Declared  ,270,KHAIRUL ALAM BARBHUIYA,Assam,Independent,Silchar
Result Declared  ,232,BROJALAL DAS,Assam,Independent,Silchar
Result Declared  ,211,ASCHAM UDDIN LASKAR,Assam,Independent,Silchar
Result Declared  ,199,NILOM SANJIB SARMAH,Assam,Bharatiya Gana Parishad,Silchar
Result Declared  ,158,MONILAL DAS,Assam,Independent,Silchar
Result Declared  ,97,ASHIM KUMAR DAS,Assam,Independent,Silchar
Result Declared  ,1143,None of the Above,Assam,None of the Above,Silchar
Result Declared  ,73423,NIJANUR RAHMAN,Assam,All India United Democratic Front,Gauripur
Result Declared  ,53512,BANENDRA KUMAR MUSHAHARY,Assam,Bodoland Peoples Front,Gauripur
Result Declared  ,23102,SUSHIL KUMAR ROY,Assam,Indian National Congress,Gauripur
Result Declared  ,5420,SUKUMAR ROY,Assam,Independent,Gauripur
Result Declared  ,768,ABDUR RAZZAQUE SHEIKH,Assam,Independent,Gauripur
Result Declared  ,669,SUNIL DAS,Assam,Independent,Gauripur
Result Declared  ,595,MOINUL HOQUE,Assam,Independent,Gauripur
Result Declared  ,539,HELIM ZAMAN,Assam,Rashtriya Secular Congress,Gauripur
Result Declared  ,534,BIKROMJIT ROY,Assam,Independent,Gauripur
Result Declared  ,487,MD. MAHIJUR RAHMAN,Assam,The National Road Map Party of India,Gauripur
Result Declared  ,301,MIR HUSSAIN SARKAR,Assam,Republican Party of India (A),Gauripur
Result Declared  ,1447,None of the Above,Assam,None of the Above,Gauripur
Result Declared  ,60933,NAJRUL HOQUE,Assam,All India United Democratic Front,Dhubri
Result Declared  ,36847,NAZIBUL UMAR,Assam,Independent,Dhubri
Result Declared  ,33648,DR. DEBAMOY SANYAL,Assam,Bharatiya Janata Party,Dhubri
Result Declared  ,13126,ABEDUR ZAMAN,Assam,Indian National Congress,Dhubri
Result Declared  ,80066,WAZED ALI CHOUDHURY,Assam,Indian National Congress,Salmara South
Result Declared  ,63343,BADRUDDIN AJMAL,Assam,All India United Democratic Front,Salmara South
Result Declared  ,1954,SHIRAJ HUSSAIN,Assam,Bharatiya Janata Party,Salmara South
Result Declared  ,1153,DEWAN JOYNAL ABEDIN,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Salmara South
Result Declared  ,3486,RASUL HOQUE,Assam,Independent,Dhubri
Result Declared  ,975,ALI HUSSAIN,Assam,Independent,Dhubri
Result Declared  ,669,SOPIAR RAHMAN,Assam,Communist Party of India  (Marxist),Dhubri
Result Declared  ,552,AZHAR HUSSAIN,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Dhubri
Result Declared  ,406,MUKTA BEGUM,Assam,Republican Party of India (A),Dhubri
Result Declared  ,312,BAHARUL SK.,Assam,Rashtriya Secular Congress,Dhubri
Result Declared  ,581,None of the Above,Assam,None of the Above,Salmara South
Result Declared  ,1069,None of the Above,Assam,None of the Above,Dhubri
Result Declared  ,59206,ASHOK KUMAR SINGHI,Assam,Bharatiya Janata Party,BILASIPARA EAST
Result Declared  ,54110,AMRIT BADSHA,Assam,Indian National Congress,BILASIPARA EAST
Result Declared  ,43213,MOSHLEM UDDIN CHOUDHURY,Assam,All India United Democratic Front,BILASIPARA EAST
Result Declared  ,4941,ANWAR HUSSAIN,Assam,Independent,BILASIPARA EAST
Result Declared  ,1047,SIDDIQUE HUSSEIN,Assam,Independent,BILASIPARA EAST
Result Declared  ,749,AMARENDRA NATH,Assam,Independent,BILASIPARA EAST
Result Declared  ,733,MARTIAL RUSSEL,Assam,Independent,BILASIPARA EAST
Result Declared  ,720,NISHIL KUMAR RAY,Assam,Independent,BILASIPARA EAST
Result Declared  ,700,TRIDIP PATI SINGHA,Assam,Independent,BILASIPARA EAST
Result Declared  ,500,AMZAD HUSSEIN,Assam,Samajwadi Party,BILASIPARA EAST
Result Declared  ,406,DR. ASHWIN KUMAR MAHANTA,Assam,Independent,BILASIPARA EAST
Result Declared  ,340,MOMINUR ALI SHEIKH,Assam,Republican Party of India (A),BILASIPARA EAST
Result Declared  ,1073,None of the Above,Assam,None of the Above,BILASIPARA EAST
Result Declared  ,44407,HAFIZ BASHIR AHMED,Assam,All India United Democratic Front,BILASIPARA WEST
Result Declared  ,33205,ALI AKBAR MIAH,Assam,Independent,BILASIPARA WEST
Result Declared  ,25515,SABANA AKTAR,Assam,Indian National Congress,BILASIPARA WEST
Result Declared  ,14688,ALI AZOM SHEIKH,Assam,Asom Gana Parishad,BILASIPARA WEST
Result Declared  ,6792,GIAS UDDIN AHMED,Assam,Communist Party of India,BILASIPARA WEST
